animal animale
bird oiseau 
dog chien 
fish poisson 
food nourriture 
horse cheval 
tail queue 
light lumière 
sun soleil 
snow neige 
boat bateau 
car voiture 
door porte 
course terrain 
center centre 
city ville 
farm ferme 
home maison 
house maison 
room chambre 
bed lit 
plane avion 
road route 
way chemin 
street rue 
surface surface 
school école 
town village 
travel voyage 
port port 
tree arbre 
sea mer 
ship navire 
water eau 
river rivière 
land terre 
island île 
moon lune 
mountain montagne 
plant plante 
star étoile 
wind vent 
fire feu 
wood bois 
ground sol 
boy garçon 
children enfants 
family famille 
friend ami 
girl fille 
group groupe 
man homme 
men hommes 
mother mère 
people gens 
person personne 
king roi 
body corps 
eye yeux 
face visage 
hand main 
head tête 
feet pieds 
foot pied 
age age 
world monde 
year année 
West l’ouest 
Earth Terre 
North nord 
East l’est 
country pays 
South sud 
day jour 
morning matin 
night nuit 
thing chose 
book livre 
box boite 
class classe 
color couleur 
example exemple 
file dossier 
form forme 
line ligne 
machine machine 
map carte 
music musique 
noun nom 
figure chiffre 
air air 
area zone 
base base 
number numéro 
game jeu 
list liste 
object objet 
order commande 
paper papier 
letter lettre 
story histoire 
pattern modèle 
picture image 
piece pièce 
towel serviette 
place place 
point point 
name nom 
word mot 
round rond 
rule règle 
science science 
sentence phrase 
song chanson 
sound son 
state état 
step pas 
table table 
test test 
power pouvoir 
product produit 
part part 
voice voix 
war guerre 
wheel roue 
work travail 
measure mesure 
inch pouce 
time temps 
hour heure 
minute minute 
pound monnaie 
money argent 
week semaine 
unit unité 
shape forme 
side côté 
size taille 
beauty beauté 
problem problème 
notice remarque 
question question 
thought pensée 
mind esprit 
heat chaleur 
help aide 
idea idée 
interest intérêt 
love amour 
force force 
end fin 
fact un fait 
blue bleu 
black noir 
dark foncé 
gold or 
green vert 
red rouge 
white blanc 
five cinq 
four quatre 
first premier 
hundred cent 
second second 
six six 
ten dix 
thousand mille 
three trois 
best meilleur 
better mieux 
big grand 
large large 
short court 
little peu 
long long 
old vieux 
young jeune 
busy occupé 
clear clair 
common commun
complete complet 
correctable corrigible 
deep profond 
direct direct 
done terminé 
dry sec 
far loin 
fast rapide 
few peu 
final final 
fine bien 
free libre 
full plein 
good bien 
great génial 
half demi 
hard difficile 
hot chaud 
kind gentil 
last dernier 
late en retard 
less moins 
low faible 
new nouveau 
next suivant 
numeral numéral 
other autre 
plain évident 
possible possible 
quick rapide 
ready prêt 
real réel 
rich riche 
right droite
same même 
several nombreux 
simple simple 
slow lent 
small petit 
special spécial 
strong fort 
top haut 
usual habituel 
warm chaud 
well bien 
whole entier 
have avoir 
has avoir 
had avoir 
act agir 
add ajouter 
answer répondre 
appear apparaître 
ask demander
translator traducteur
translate traduire
input entrée
output sortie
nullnull nullnull
